Vagococcus_lutrae	V. lutrae
Clostridium_bolteae_CAG_59	C. bolteae CAG-59
Enterococcus_sp_3H8_DIV0648	Ent. sp. 3H8-DIV0648
Enterobacter_cloacae_complex	E. cloacae complex
Anaerococcus_nagyae	A. nagyae
Paracoccus_sanguinis	P. sanguinis
Neisseria_gonorrhoeae	N. gonorrhoeae
Porphyromonas_gingivalis	P. gingivalis
Bacteroides_sp_CAG_144	Bac. sp. CAG-144
Hephaestia_caeni	H. caeni
Corynebacterium_sp_HMSC04H06	Cor. sp. HMSC04H06
Actinomyces_sp_oral_taxon_181	Act. sp. oral-taxon-181
Neisseria_animaloris	N. animaloris
Pantoea_rwandensis	P. rwandensis
Rhizobium_pusense	R. pusense
Corynebacterium_glaucum	Cor. glaucum
Bacillus_simplex	B. simplex
Tetrasphaera_australiensis	T. australiensis
Streptococcus_sp_HMSC034E03	Str. sp. HMSC034E03
Capnocytophaga_canimorsus	C. canimorsus
Pseudomonas_parafulva	P. parafulva
Prevotella_scopos	P. scopos
Paracoccus_sp_WN007	Par. sp. WN007
Mycolicibacterium_tokaiense	Myc. tokaiense
Lactobacillus_paraplantarum	L. paraplantarum
Agrococcus_jejuensis	A. jejuensis
Streptococcus_infantis	S. infantis
Treponema_sp_OMZ_838	Tre. sp. OMZ-838
Pantoea_dispersa	P. dispersa
Dolosigranulum_pigrum	D. pigrum
Acinetobacter_oleivorans	A. oleivorans
Blastococcus_aggregatus	B. aggregatus
Pseudomonas_grimontii	P. grimontii
Bacteroides_heparinolyticus	B. heparinolyticus
Corynebacterium_appendicis	Cor. appendicis
Lactonifactor_longoviformis	L. longoviformis
Propionibacterium_humerusii	Pro. humerusii
Clostridium_sp_CAG_413	Clo. sp. CAG-413
Gluconobacter_frateurii	G. frateurii
Achromobacter_ruhlandii	A. ruhlandii
Bacteroides_dorei	B. dorei
Actinomyces_urogenitalis	A. urogenitalis
Pseudoflavonifractor_sp_An85	Pse. sp. An85
Kingella_potus	K. potus
Kocuria_rosea	K. rosea
Eggerthella_lenta	E. lenta
Pseudonocardia_alni	P. alni
Muribaculaceae_bacterium_DSM_103720	Mur. bacterium DSM-103720
Pseudomonas_indoloxydans	P. indoloxydans
Pelistega_indica	P. indica
Neisseria_zoodegmatis	N. zoodegmatis
Deinococcus_soli_Cha_et_al_2016	D. soli Cha-et-al-2016
Staphylococcus_lugdunensis	S. lugdunensis
Mageeibacillus_indolicus	M. indolicus
Clostridium_diolis	C. diolis
Butyricicoccus_porcorum	B. porcorum
Lactobacillus_hilgardii	L. hilgardii
Acidovorax_sp_MR_S7	Aci. sp. MR-S7
Rikenella_microfusus	R. microfusus
Achromobacter_insuavis	A. insuavis
Lactobacillus_kullabergensis	L. kullabergensis
Oribacterium_asaccharolyticum	Ori. asaccharolyticum
Eubacterium_sp_CAG_786	Eub. sp. CAG-786
Gluconacetobacter_liquefaciens	G. liquefaciens
Enterococcus_sp_RIT_PI_f	Ent. sp. RIT-PI-f
Criibacterium_bergeronii	Cri. bergeronii
Pseudoalteromonas_undina	P. undina
Prevotella_sp_CAG_1092	Pre. sp. CAG-1092
Lactobacillus_lindneri	L. lindneri
Eubacterium_sp_CAG_38	Eub. sp. CAG-38
Bilophila_wadsworthia	B. wadsworthia
Anaerococcus_prevotii	A. prevotii
Enterococcus_durans	E. durans
Leucobacter_sp_UCD_THU	Leu. sp. UCD-THU
Lactobacillus_ruminis	L. ruminis
Bacteroides_graminisolvens	B. graminisolvens
Clostridium_cocleatum	C. cocleatum
Corynebacterium_riegelii	Cor. riegelii
Anaeromassilibacillus_sp_An172	Ana. sp. An172
Bifidobacterium_actinocoloniiforme	Bif. actinocoloniiforme
Bergeyella_zoohelcum	B. zoohelcum
Bradyrhizobium_sp_BTAi1	Bra. sp. BTAi1
Paracoccus_chinensis	P. chinensis
Sporanaerobacter_sp_PP17_6a	Spo. sp. PP17-6a
Cedecea_lapagei	C. lapagei
Veillonellaceae_bacterium_DNF00626	Vei. bacterium DNF00626
Neisseria_sicca	N. sicca
Comamonas_aquatica	C. aquatica
Bacillus_oceanisediminis	B. oceanisediminis
Butyricicoccus_pullicaecorum	B. pullicaecorum
Photobacterium_iliopiscarium	Pho. iliopiscarium
Aneurinibacillus_migulanus	A. migulanus
Cetobacterium_somerae	Cet. somerae
Capnocytophaga_sp_oral_taxon_332	Cap. sp. oral-taxon-332
Prevotella_sp_F0091	Pre. sp. F0091
Streptococcus_viridans	S. viridans
Bacillus_stratosphericus	B. stratosphericus
Acetobacter_orientalis	A. orientalis
Actinomyces_sp_oral_taxon_170	Act. sp. oral-taxon-170
Coprobacter_fastidiosus	C. fastidiosus
Enterococcus_thailandicus	E. thailandicus
Georgenia_satyanarayanai	G. satyanarayanai
Leptospira_licerasiae	L. licerasiae
Acetatifactor_muris	A. muris
Gordonia_bronchialis	G. bronchialis
Chlorogloea_sp_CCALA_695	Chl. sp. CCALA-695
Shewanella_putrefaciens	S. putrefaciens
Hungatella_hathewayi	H. hathewayi
Arthrobacter_sp_7749	Art. sp. 7749
Jonquetella_anthropi	J. anthropi
Lachnoclostridium_sp_An131	Lac. sp. An131
Eubacterium_pyruvativorans	Eub. pyruvativorans
Clostridium_cadaveris	C. cadaveris
Lactobacillus_agilis	L. agilis
Bacteroides_intestinalis	Bacteroides_intestinalis
Listeria_monocytogenes	L. monocytogenes
Neisseria_weaveri	N. weaveri
Brachyspira_pilosicoli	B. pilosicoli
Gemmiger_sp_An120	Gem. sp. An120
Clostridium_sp_CAG_299	Clo. sp. CAG-299
Acinetobacter_schindleri	A. schindleri
Roseburia_inulinivorans	R. inulinivorans
Mesorhizobium_sp_65_26	Mes. sp. 65-26
Lawsonibacter_asaccharolyticus	L. asaccharolyticus
Alloscardovia_omnicolens	A. omnicolens
Roseburia_hominis	Roseburia_hominis
Burkholderia_lata	B. lata
Corynebacterium_resistens	Cor. resistens
Salipiger_profundus	S. profundus
Clostridiales_bacterium_CHKCI006	Clo. bacterium CHKCI006
Pseudomonas_sp_HMWF006	Pse. sp. HMWF006
Actinomyces_odontolyticus	A. odontolyticus
Alloiococcus_otitis	A. otitis
Porphyromonas_endodontalis	P. endodontalis
Roseburia_sp_831b	Ros. sp. 831b
Bacillus_marisflavi	B. marisflavi
Veillonella_rogosae	V. rogosae
Bacillus_sp_AFS040349	Bac. sp. AFS040349
Bifidobacterium_ruminantium	Bif. ruminantium
Bifidobacterium_gallinarum	Bif. gallinarum
Brevibacterium_iodinum	Bre. iodinum
Pediococcus_pentosaceus	P. pentosaceus
Haemophilus_sp_HMSC71H05	Hae. sp. HMSC71H05
Solobacterium_moorei	Sol. moorei
Aeromonas_veronii	A. veronii
Methanobrevibacter_woesei	M. woesei
Arthrospira_platensis	A. platensis
Lactobacillus_oris	L. oris
Ileibacterium_valens	Ile. valens
Lachnoclostridium_sp_An196	Lac. sp. An196
Cupriavidus_sp	Cupriavidus_sp
Tannerella_forsythia	T. forsythia
Aerococcaceae_bacterium	Aer. bacterium
Erysipelothrix_larvae	E. larvae
Staphylococcus_carnosus	S. carnosus
Edwardsiella_hoshinae	E. hoshinae
Prevotella_sp_CAG_924	Pre. sp. CAG-924
Bordetella_sp_3d_2_2	Bor. sp. 3d-2-2
Helicobacter_bilis	H. bilis
Chlamydia_ibidis	C. ibidis
Citrobacter_braakii	C. braakii
Psychrobacillus_psychrotolerans	Psychrobacillus_psychrotolerans
Atopobium_rimae	A. rimae
Gemella_haemolysans	G. haemolysans
Sphingomonadaceae_bacterium_MED_G03	Sph. bacterium MED-G03
Neisseria_perflava	N. perflava
Zymomonas_mobilis	Z. mobilis
Chryseobacterium_sp_39_10	Chr. sp. 39-10
Aeromonas_dhakensis	A. dhakensis
Peptoanaerobacter_stomatis	Peptoanaerobacter_stomatis
Oscillibacter_sp_PC13	Osc. sp. PC13
Rouxiella_silvae	R. silvae
